Accession_ID,Country_of_Origin,Latitude,Longitude,Accession_Type,Accession_Type
murinum_BCC2017,,,,outgroup,outgroup
CIho04144,Afghanistan,34.933,68.483,domesticated,landrace
CIho04159,Afghanistan,34.45,68.784,domesticated,landrace
CIho04176,Afghanistan,35.067,67.667,domesticated,landrace
CIho04184,Afghanistan,35.734,69.534,domesticated,landrace
CIho04188,Afghanistan,34.529,69.173,domesticated,landrace
CIho06601,Afghanistan,34.951,70.068,domesticated,landrace
CIho11688,Afghanistan,34.868,68.001,domesticated,landrace
CIho14250,Afghanistan,36.835,70.518,domesticated,landrace
CIho14255,Afghanistan,35.118,69.301,domesticated,landrace
CIho14258,Afghanistan,30.502,62.002,domesticated,landrace
CIho14260,Afghanistan,33.302,62.135,domesticated,landrace
PI125321,Afghanistan,33.002,66.002,domesticated,landrace
PI134636,Afghanistan,34.419,69.385,domesticated,landrace
PI135758,Afghanistan,35.935,66.419,domesticated,landrace
PI135761,Afghanistan,34.552,65.152,domesticated,landrace
PI140277,Afghanistan,33.002,66.002,domesticated,landrace
PI140278,Afghanistan,34.819,67.819,domesticated,landrace
PI198734,Afghanistan,33.552,68.419,domesticated,landrace
PI220659,Afghanistan,34.986,68.736,domesticated,landrace
PI220660,Afghanistan,35.753,69.003,domesticated,landrace
PI223446,Afghanistan,37.119,70.569,domesticated,landrace
PI223509,Afghanistan,34.419,70.453,domesticated,landrace
PI223879,Afghanistan,36.003,69.753,domesticated,landrace
PI244785,Afghanistan,34.52,69.186,domesticated,landrace
PI244791,Afghanistan,35.003,69.17,domesticated,landrace
PI250775,Afghanistan,31.603,65.703,domesticated,landrace
PI250778,Afghanistan,31.603,65.703,domesticated,landrace
PI328728,Afghanistan,33.004,66.004,domesticated,landrace
PI328729,Afghanistan,33.004,66.004,domesticated,landrace
PI331895,Afghanistan,33.004,66.004,domesticated,landrace
PI366439,Afghanistan,34.554,65.787,domesticated,landrace
PI366450,Afghanistan,34.871,63.087,domesticated,landrace
PI366453,Afghanistan,33.771,62.254,domesticated,landrace
PI366478,Afghanistan,36.688,67.838,domesticated,landrace
CIho02479,Algeria,36.038,0.138,domesticated,landrace
CIho03549,Algeria,33.022,6.022,domesticated,landrace
CIho14051,Algeria,33.106,6.072,domesticated,landrace
CIho14052,Algeria,34.856,5.739,domesticated,landrace
CIho14053,Algeria,34.856,5.739,domesticated,landrace
CIho14054,Algeria,33.023,6.023,domesticated,landrace
CIho14055,Algeria,33.023,6.023,domesticated,landrace
CIho14059,Algeria,34.656,5.889,domesticated,landrace
PI039590,Algeria,35.423,0.173,domesticated,landrace
PI057047,Algeria,33.107,6.073,domesticated,landrace
PI057048,Algeria,33.107,6.073,domesticated,landrace
PI057057,Algeria,34.857,5.74,domesticated,landrace
PI057065,Algeria,36.757,3.057,domesticated,landrace
PI064004,Algeria,28.007,3.007,domesticated,landrace
PI434871,Algeria,28.007,3.007,domesticated,landrace
CIho14302,Armenia,40.194,44.51,domesticated,landrace
CIho14391,Armenia,40.011,45.011,domesticated,landrace
CIho14394,Armenia,40.011,45.011,domesticated,landrace
CIho14395,Armenia,40.011,45.011,domesticated,landrace
PI061509,Armenia,40.194,44.511,domesticated,landrace
PI061510,Armenia,40.194,44.511,domesticated,landrace
PI073291,Armenia,40.011,45.011,domesticated,landrace
PI073292,Armenia,40.011,45.011,domesticated,landrace
PI073299,Armenia,40.011,45.011,domesticated,landrace
PI073301,Armenia,40.011,45.011,domesticated,landrace
PI094797,Armenia,40.062,44.512,domesticated,landrace
PI283397,Armenia,40.012,45.012,domesticated,landrace
PI327837,Armenia,39.795,45.295,domesticated,landrace
PI327838,Armenia,40.012,45.012,domesticated,landrace
PI327840,Armenia,40.879,45.145,domesticated,landrace
PI327842,Armenia,40.879,45.145,domesticated,landrace
PI327866,Armenia,40.012,45.012,domesticated,landrace
PI372077,Armenia,40.962,44.662,domesticated,landrace
PI573610,Armenia,40.013,45.013,domesticated,landrace
PI183631,Austria,47.567,16.1,domesticated,landrace
PI183636,Austria,48.417,16.234,domesticated,landrace
PI350713,Austria,47.035,13.635,domesticated,landrace
PI350715,Austria,47.168,13.518,domesticated,landrace
PI350717,Austria,47.302,12.668,domesticated,landrace
PI350725,Austria,47.068,10.635,domesticated,landrace
PI467467,Austria,47.269,11.352,domesticated,landrace
PI467486,Austria,47.702,14.269,domesticated,landrace
CIho14326,Azerbaijan,40.06,47.06,domesticated,landrace
CIho14327,Azerbaijan,40.048,47.048,domesticated,landrace
CIho14328,Azerbaijan,40.065,47.065,domesticated,landrace
CIho14332,Azerbaijan,40.108,47.108,domesticated,landrace
CIho14333,Azerbaijan,40.102,47.102,domesticated,landrace
CIho14334,Azerbaijan,40.118,47.118,domesticated,landrace
CIho14341,Azerbaijan,40.077,47.077,domesticated,landrace
CIho14344,Azerbaijan,40.045,47.045,domesticated,landrace
CIho14345,Azerbaijan,40.108,47.108,domesticated,landrace
